date,hour,temperature_c
2025-12-11,0,15.65
2025-12-11,1,15.299999999999999
2025-12-11,2,15.049999999999999
2025-12-11,3,14.85
2025-12-11,4,14.55
2025-12-11,5,14.35
2025-12-11,6,14.2
2025-12-11,7,14.700000000000001
2025-12-11,8,17.25
2025-12-11,9,19.9
2025-12-11,10,21.5
2025-12-11,11,22.55
2025-12-11,12,23.3
2025-12-11,13,23.7
2025-12-11,14,23.65
2025-12-11,15,23.35
2025-12-11,16,22.75
2025-12-11,17,21.0
2025-12-11,18,19.2
2025-12-11,19,18.05
2025-12-11,20,17.25
2025-12-11,21,16.75
2025-12-11,22,16.25
2025-12-11,23,15.75
