time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,16.5,95,4.4,2025-12-11,0,mild,14.6
2025-12-11 01:00:00,16.4,96,4.3,2025-12-11,1,mild,14.479999999999999
2025-12-11 02:00:00,16.4,96,5.0,2025-12-11,2,mild,14.479999999999999
2025-12-11 03:00:00,16.4,96,4.4,2025-12-11,3,mild,14.479999999999999
2025-12-11 04:00:00,16.2,97,2.9,2025-12-11,4,mild,14.26
2025-12-11 05:00:00,16.2,97,2.9,2025-12-11,5,mild,14.26
2025-12-11 06:00:00,16.2,98,2.6,2025-12-11,6,mild,14.239999999999998
2025-12-11 07:00:00,16.1,98,3.2,2025-12-11,7,mild,14.14
2025-12-11 08:00:00,17.0,97,4.4,2025-12-11,8,mild,15.06
2025-12-11 09:00:00,18.2,96,4.7,2025-12-11,9,mild,16.28
2025-12-11 10:00:00,18.7,93,6.1,2025-12-11,10,mild,16.84
2025-12-11 11:00:00,19.0,91,6.5,2025-12-11,11,mild,17.18
2025-12-11 12:00:00,19.3,90,7.2,2025-12-11,12,mild,17.5
2025-12-11 13:00:00,19.4,89,7.2,2025-12-11,13,mild,17.619999999999997
2025-12-11 14:00:00,19.2,90,6.8,2025-12-11,14,mild,17.4
2025-12-11 15:00:00,19.0,91,6.5,2025-12-11,15,mild,17.18
2025-12-11 16:00:00,18.9,91,5.8,2025-12-11,16,mild,17.08
2025-12-11 17:00:00,18.4,93,4.7,2025-12-11,17,mild,16.54
2025-12-11 18:00:00,17.9,95,3.4,2025-12-11,18,mild,15.999999999999998
2025-12-11 19:00:00,17.6,97,3.4,2025-12-11,19,mild,15.660000000000002
2025-12-11 20:00:00,17.5,97,3.6,2025-12-11,20,mild,15.56
2025-12-11 21:00:00,17.4,98,3.6,2025-12-11,21,mild,15.439999999999998
2025-12-11 22:00:00,17.3,98,3.1,2025-12-11,22,mild,15.34
2025-12-11 23:00:00,17.3,99,2.5,2025-12-11,23,mild,15.32
