city,time,pm2_5,pm10,ozone
delhi,2025-12-11 00:00:00,105.2,106.2,45
mumbai,2025-12-11 00:00:00,30.7,30.7,26
kolkata,2025-12-11 00:00:00,187.2,190.5,44
delhi,2025-12-11 00:00:00,105.2,106.2,45
bangalore,2025-12-11 00:00:00,50.9,53.3,119
bangalore,2025-12-11 00:00:00,50.9,53.3,119
hyderabad,2025-12-11 00:00:00,29.5,30.4,92
mumbai,2025-12-11 00:00:00,30.7,30.7,26
kolkata,2025-12-11 00:00:00,187.2,190.5,44
hyderabad,2025-12-11 00:00:00,29.5,30.4,92
delhi,2025-12-11 01:00:00,110.1,111.1,37
hyderabad,2025-12-11 01:00:00,29.0,29.7,86
kolkata,2025-12-11 01:00:00,183.9,186.3,57
mumbai,2025-12-11 01:00:00,29.8,29.9,23
mumbai,2025-12-11 01:00:00,29.8,29.9,23
bangalore,2025-12-11 01:00:00,53.9,56.2,120
delhi,2025-12-11 01:00:00,110.1,111.1,37
bangalore,2025-12-11 01:00:00,53.9,56.2,120
kolkata,2025-12-11 01:00:00,183.9,186.3,57
hyderabad,2025-12-11 01:00:00,29.0,29.7,86
delhi,2025-12-11 02:00:00,124.3,125.3,28
hyderabad,2025-12-11 02:00:00,30.2,30.7,79
kolkata,2025-12-11 02:00:00,176.0,178.3,76
mumbai,2025-12-11 02:00:00,32.2,32.4,24
bangalore,2025-12-11 02:00:00,57.5,59.8,120
kolkata,2025-12-11 02:00:00,176.0,178.3,76
mumbai,2025-12-11 02:00:00,32.2,32.4,24
delhi,2025-12-11 02:00:00,124.3,125.3,28
bangalore,2025-12-11 02:00:00,57.5,59.8,120
hyderabad,2025-12-11 02:00:00,30.2,30.7,79
delhi,2025-12-11 03:00:00,130.4,131.3,36
hyderabad,2025-12-11 03:00:00,27.1,27.4,82
kolkata,2025-12-11 03:00:00,167.2,169.0,102
kolkata,2025-12-11 03:00:00,167.2,169.0,102
delhi,2025-12-11 03:00:00,130.4,131.3,36
mumbai,2025-12-11 03:00:00,36.2,36.3,40
mumbai,2025-12-11 03:00:00,36.2,36.3,40
hyderabad,2025-12-11 03:00:00,27.1,27.4,82
bangalore,2025-12-11 03:00:00,58.2,60.8,123
bangalore,2025-12-11 03:00:00,58.2,60.8,123
mumbai,2025-12-11 04:00:00,38.8,38.8,84
kolkata,2025-12-11 04:00:00,154.6,156.9,142
hyderabad,2025-12-11 04:00:00,21.7,22.0,105
mumbai,2025-12-11 04:00:00,38.8,38.8,84
delhi,2025-12-11 04:00:00,123.9,124.3,79
delhi,2025-12-11 04:00:00,123.9,124.3,79
kolkata,2025-12-11 04:00:00,154.6,156.9,142
hyderabad,2025-12-11 04:00:00,21.7,22.0,105
bangalore,2025-12-11 04:00:00,53.4,56.7,135
bangalore,2025-12-11 04:00:00,53.4,56.7,135
hyderabad,2025-12-11 05:00:00,18.5,18.9,139
bangalore,2025-12-11 05:00:00,45.5,48.4,150
delhi,2025-12-11 05:00:00,110.8,111.5,139
kolkata,2025-12-11 05:00:00,127.6,131.3,189
bangalore,2025-12-11 05:00:00,45.5,48.4,150
mumbai,2025-12-11 05:00:00,39.7,39.7,143
hyderabad,2025-12-11 05:00:00,18.5,18.9,139
kolkata,2025-12-11 05:00:00,127.6,131.3,189
delhi,2025-12-11 05:00:00,110.8,111.5,139
mumbai,2025-12-11 05:00:00,39.7,39.7,143
kolkata,2025-12-11 06:00:00,90.6,96.6,223
delhi,2025-12-11 06:00:00,90.3,91.0,183
delhi,2025-12-11 06:00:00,90.3,91.0,183
bangalore,2025-12-11 06:00:00,40.7,43.1,160
bangalore,2025-12-11 06:00:00,40.7,43.1,160
hyderabad,2025-12-11 06:00:00,16.8,17.2,163
kolkata,2025-12-11 06:00:00,90.6,96.6,223
hyderabad,2025-12-11 06:00:00,16.8,17.2,163
mumbai,2025-12-11 06:00:00,38.6,38.6,198
mumbai,2025-12-11 06:00:00,38.6,38.6,198
hyderabad,2025-12-11 07:00:00,16.3,16.6,171
kolkata,2025-12-11 07:00:00,82.0,88.5,236
kolkata,2025-12-11 07:00:00,82.0,88.5,236
mumbai,2025-12-11 07:00:00,40.2,40.2,248
delhi,2025-12-11 07:00:00,71.2,71.9,199
bangalore,2025-12-11 07:00:00,38.2,40.2,161
delhi,2025-12-11 07:00:00,71.2,71.9,199
hyderabad,2025-12-11 07:00:00,16.3,16.6,171
bangalore,2025-12-11 07:00:00,38.2,40.2,161
mumbai,2025-12-11 07:00:00,40.2,40.2,248
delhi,2025-12-11 08:00:00,61.7,62.2,199
kolkata,2025-12-11 08:00:00,78.5,84.8,236
mumbai,2025-12-11 08:00:00,47.4,47.4,292
delhi,2025-12-11 08:00:00,61.7,62.2,199
hyderabad,2025-12-11 08:00:00,15.7,16.0,169
kolkata,2025-12-11 08:00:00,78.5,84.8,236
mumbai,2025-12-11 08:00:00,47.4,47.4,292
hyderabad,2025-12-11 08:00:00,15.7,16.0,169
bangalore,2025-12-11 08:00:00,36.4,38.5,157
bangalore,2025-12-11 08:00:00,36.4,38.5,157
